country,state,city,link,name
AD,,,www.bondia.ad/,Bondia
AD,,,www.diariandorra.ad/,Diari d'Andorra
AD,,,www.elperiodic.ad/,El Periòdic d'Andorra
AD,,,www.ana.ad/,Agència de Notícies Andorrana 
AD,,,www.ara.ad/,Ara Andorra
AD,,,forum.ad/,Forum
AD,,,www.andorradifusio.ad/,RTVA 
AD,,,news.bbc.co.uk/2/hi/europe/country_profiles/992562.stm,BBC News - Andorra country profile
AE,,,www.albayan.ae/,Al Bayan
AE,,,www.alittihad.ae/,Al Ittihad
AE,,,www.alkhaleej.ae/,Al Khaleej
AE,,,www.emaratalyoum.com/,Emaratalyoum
AE,,,www.arabianbusiness.com/,Arabian Business
AE,,,ameinfo.com/,AME Info
AE,,,sport360.com/,Sport 360
AE,,,gulfnews.com/,Gulf News
AE,,,www.khaleejtimes.com/,Khaleej Times
AE,,,www.thenational.ae/,National
AE,,,fujairahtoday.ae/,Fujairah Today
AE,,,www.eremnews.com/,Erem News
AE,,,www.alroeya.ae/,Al Roeya
AE,,,gulfnews.com/xpress,Dubai Xpress
AE,,,wam.ae/ar,WAM/Emirates News Agency
AE,,,kabayanweekly.com/,Kabayan Weekly
AE,,,thearabianpost.com/,Arabian Post
AE,,,gulftoday.ae/,Gulf Today
AE,,,www.alarabiya.net/,Al Arabiya Tv
AE,,,www.adtv.ae/,Abu Dhabi TV
AE,,,www.dubaisports.ae/,Dubai Sport Tv
AE,,,www.emirates247.com/,Emirates247
AE,,,www.dotemirates.com/en,Dot Emirates
AE,,,www.adradio.ae/,Radio Abu Dhabi
AE,,,www.timeoutdubai.com/,Time Out Dubai
AE,,,www.skynewsarabia.com/,Sky News Arabia
AE,,,www.alsahawat.com/,Al-Sahawat Times
AE,,,www.menaherald.com/,MENA Herald
AF,,,afghanistantimes.af/,Afghanistan Times Daily
AF,,,www.outlookafghanistan.net/,Daily Outlookafghanistan
AF,,,www.benawa.com/,Benawa
AF,,,www.pajhwok.com/,Pajhwok Afghan News
AF,,,www.kabulpress.org/,Kabul Press
AF,,,www.dailyafghanistan.com/,Daily Afghanistan
AF,,,www.khaama.com/,Khaama Press
AF,,,www.mandegardaily.com/,Mandegar
AF,,,www.aopnews.com/,Afghan Online Press
AF,,,www.afghanislamicpress.com/,Afghan Islamic Press 
AF,,,theafghanistanexpress.com/,Afghanistan Express
AF,,,www.thekabultimes.gov.af/,Kabul Times
AF,,,www.dailyweesa.com/,Weesa
AF,,,eqmweekly.com.af/,EQM weekly
AF,,,8am.af/,8 Sobh
AF,,,larawbar.net/,Larabar
AF,,,www.sabawoon.com/,Sabawoon
AF,,,www.tatobaynews.com/,Tatobay
AF,,,www.taand.com/,Taand
AF,,,www.tolafghan.com/,Tolafghan
AF,,,wadsam.com/,Wadsam
AF,,,www.ansardaily.com/,Ansar
AF,,,etilaatroz.com/,Etilaat Roz
AF,,,ariananews.af/,Ariana News
AF,,,www.afghanpaper.com/,Afghan Paper
AF,,,www.ariananet.com/,ariananet.com
AF,,,www.nunn.asia/,nunn.asia
